State,District,Crop,Season,SowingMonth,Area(ha),N(kg/ha),P(kg/ha),K(kg/ha),SoilType,AnnualRainfall(mm),AvgTemperature(C),Yield(t/ha)
West Bengal,Darjeeling,Corn,Annual,July,8.77,163,49,39,Clay,1164,31.6,36.55
Uttar Pradesh,Kanpur,Cotton,Annual,October,2.18,71,77,41,Red,698,30.2,20.17
West Bengal,Kolkata,Tomato,Rabi,September,7.16,154,72,48,Loamy,439,23.0,227.94
Uttar Pradesh,Kanpur,Rice,Annual,October,1.43,190,75,75,Red,534,22.7,32.93
Uttar Pradesh,Lucknow,Sugarcane,Annual,March,8.02,126,97,68,Black,676,21.6,306.08
Punjab,Amritsar,Sugarcane,Annual,May,5.19,103,92,75,Red,1019,25.9,286.4
Karnataka,Mandya,Sugarcane,Zaid,February,4.46,69,41,95,Loamy,561,34.4,209.91
Tamil Nadu,Thanjavur,Sugarcane,Rabi,January,2.69,73,53,24,Red,411,20.5,218.32
Andhra Pradesh,Guntur,Wheat,Zaid,December,2.58,166,35,79,Loamy,1130,26.9,39.5
Uttar Pradesh,Lucknow,Sugarcane,Kharif,April,2.9,108,86,21,Clay,424,32.6,222.42
Tamil Nadu,Salem,Corn,Zaid,September,1.27,144,51,56,Loamy,464,29.2,22.65
West Bengal,Howrah,Corn,Rabi,December,7.39,103,78,73,Red,456,22.7,30.47
West Bengal,Darjeeling,Rice,Kharif,March,4.67,72,51,23,Clay,664,26.5,18.74
West Bengal,Darjeeling,Tomato,Zaid,August,9.66,80,53,47,Red,453,25.5,176.43
Tamil Nadu,Thanjavur,Rice,Rabi,October,6.87,167,89,37,Sandy,717,25.9,38.57
Punjab,Amritsar,Rice,Zaid,June,8.83,157,87,60,Black,1180,20.5,32.87
Andhra Pradesh,Guntur,Wheat,Annual,December,3.84,176,53,72,Loamy,582,24.3,36.06
Karnataka,Belgaum,Tomato,Zaid,November,2.22,181,60,30,Red,404,23.4,196.29
Tamil Nadu,Thanjavur,Sugarcane,Zaid,July,5.46,67,64,22,Clay,832,32.5,248.72
Karnataka,Belgaum,Tomato,Kharif,December,8.83,134,74,61,Loamy,574,26.1,200.04
Andhra Pradesh,Guntur,Tomato,Rabi,May,2.19,152,83,25,Sandy,694,22.3,159.02
Uttar Pradesh,Kanpur,Corn,Annual,October,1.46,152,46,22,Loamy,519,28.5,26.98
Karnataka,Mysore,Tomato,Annual,June,9.52,93,84,93,Clay,773,27.8,247.82
Andhra Pradesh,Nellore,Rice,Zaid,March,1.42,102,69,82,Clay,411,31.9,32.62
West Bengal,Howrah,Cotton,Kharif,September,4.27,140,71,20,Clay,542,30.0,26.63
Tamil Nadu,Salem,Rice,Rabi,January,6.08,145,78,58,Red,1053,21.4,40.18
Tamil Nadu,Thanjavur,Corn,Rabi,February,8.08,75,45,58,Black,834,29.9,29.06
West Bengal,Darjeeling,Wheat,Rabi,September,4.72,102,55,22,Sandy,575,21.4,22.45
West Bengal,Darjeeling,Corn,Rabi,August,3.6,54,93,20,Loamy,585,22.3,22.22
Tamil Nadu,Salem,Rice,Kharif,June,4.75,155,67,87,Clay,757,21.8,31.83
Uttar Pradesh,Varanasi,Wheat,Kharif,September,3.49,180,46,23,Loamy,556,34.7,28.81
Andhra Pradesh,Guntur,Cotton,Zaid,October,3.56,186,44,61,Red,1190,24.2,37.25
Karnataka,Mandya,Rice,Zaid,May,1.13,83,68,98,Sandy,627,33.4,33.11
Maharashtra,Nagpur,Corn,Annual,June,1.81,155,67,68,Red,550,28.2,26.66
Andhra Pradesh,Guntur,Wheat,Annual,June,4.83,101,34,70,Clay,1111,21.0,27.51
Punjab,Patiala,Rice,Zaid,August,4.09,129,96,90,Clay,756,29.5,40.38
Tamil Nadu,Madurai,Tomato,Zaid,August,2.56,174,85,97,Clay,700,33.4,243.46
Maharashtra,Pune,Wheat,Rabi,November,8.36,144,74,42,Sandy,750,32.6,36.35
West Bengal,Howrah,Rice,Rabi,August,8.74,90,77,37,Loamy,931,22.8,33.14
Maharashtra,Nashik,Tomato,Zaid,January,3.5,83,86,42,Sandy,564,33.9,158.07
Karnataka,Mandya,Sugarcane,Kharif,February,1.81,88,34,92,Loamy,1087,22.2,229.88
Tamil Nadu,Madurai,Cotton,Zaid,September,5.5,195,86,76,Clay,850,34.2,37.93
West Bengal,Kolkata,Rice,Annual,October,8.39,52,67,26,Clay,537,23.2,19.84
Maharashtra,Nagpur,Rice,Kharif,October,7.92,101,47,38,Sandy,488,22.6,26.52
Uttar Pradesh,Kanpur,Sugarcane,Rabi,August,3.91,140,83,70,Loamy,661,30.0,313.13
West Bengal,Kolkata,Wheat,Rabi,September,5.43,118,86,83,Loamy,405,25.1,35.1
Tamil Nadu,Salem,Cotton,Kharif,February,6.61,136,57,44,Black,1199,33.7,39.05
Uttar Pradesh,Lucknow,Cotton,Annual,March,4.09,90,74,47,Sandy,719,28.7,21.9
Karnataka,Belgaum,Sugarcane,Kharif,May,9.99,75,38,94,Loamy,586,34.7,326.45
Karnataka,Mysore,Corn,Zaid,April,7.12,70,92,65,Sandy,991,34.9,27.53
Maharashtra,Pune,Wheat,Rabi,July,2.31,194,84,95,Red,427,34.9,37.72
West Bengal,Kolkata,Wheat,Zaid,May,5.47,110,83,98,Red,427,25.8,35.89
Karnataka,Belgaum,Wheat,Kharif,October,8.16,140,41,36,Loamy,916,34.8,34.19
Tamil Nadu,Thanjavur,Cotton,Zaid,March,7.06,180,51,51,Clay,1174,29.8,32.04
Punjab,Amritsar,Corn,Zaid,May,1.92,191,35,89,Red,714,32.3,31.73
Maharashtra,Nagpur,Cotton,Annual,April,3.27,141,84,89,Black,745,22.1,41.1
Karnataka,Mysore,Rice,Rabi,July,8.99,120,86,69,Sandy,499,25.4,37.87
Andhra Pradesh,Kurnool,Cotton,Annual,December,3.98,150,44,74,Clay,1130,21.0,39.83
Karnataka,Belgaum,Rice,Kharif,January,1.87,169,32,26,Clay,622,22.0,25.54
Karnataka,Mandya,Rice,Kharif,March,9.47,65,84,41,Loamy,610,33.1,30.17
Karnataka,Mysore,Rice,Zaid,May,3.51,160,35,29,Black,1128,22.2,31.53
Karnataka,Mandya,Sugarcane,Annual,September,5.21,163,80,94,Sandy,1012,32.0,441.17
Maharashtra,Pune,Corn,Kharif,September,1.23,54,55,98,Loamy,771,34.0,27.88
West Bengal,Darjeeling,Cotton,Kharif,December,7.31,145,67,42,Black,981,33.4,33.12
Maharashtra,Nagpur,Tomato,Zaid,September,9.51,169,76,26,Sandy,704,23.4,190.75
Andhra Pradesh,Nellore,Wheat,Kharif,November,3.67,120,46,50,Loamy,1008,30.2,28.42
Tamil Nadu,Thanjavur,Sugarcane,Kharif,January,4.57,100,54,69,Clay,552,25.7,255.7
West Bengal,Darjeeling,Wheat,Zaid,July,8.79,77,64,78,Clay,516,20.6,32.03
Maharashtra,Nashik,Sugarcane,Kharif,February,3.7,195,41,47,Sandy,467,20.4,312.52
West Bengal,Kolkata,Rice,Kharif,June,5.7,73,36,95,Red,710,23.3,26.97
Tamil Nadu,Thanjavur,Sugarcane,Annual,January,9.51,199,47,21,Red,814,23.6,331.52
Maharashtra,Pune,Sugarcane,Annual,April,1.41,143,70,55,Sandy,684,32.5,271.12
Tamil Nadu,Madurai,Rice,Annual,January,1.59,133,42,86,Clay,819,34.9,29.89
Maharashtra,Pune,Tomato,Kharif,November,5.56,144,34,51,Black,885,26.0,168.04
West Bengal,Kolkata,Corn,Annual,December,5.03,115,47,63,Black,425,24.5,27.68
Maharashtra,Pune,Wheat,Annual,November,4.98,189,31,80,Loamy,1000,23.4,42.7
West Bengal,Howrah,Wheat,Rabi,November,9.85,57,75,100,Sandy,1168,20.3,32.32
Andhra Pradesh,Kurnool,Corn,Zaid,October,1.72,181,71,31,Sandy,578,31.4,32.71
Tamil Nadu,Salem,Cotton,Annual,July,6.88,125,49,45,Loamy,625,31.2,25.35
West Bengal,Darjeeling,Rice,Annual,October,2.01,109,63,51,Clay,815,24.3,30.52
West Bengal,Howrah,Sugarcane,Kharif,April,7.74,78,82,86,Loamy,765,23.7,323.79
Uttar Pradesh,Kanpur,Wheat,Rabi,January,1.37,69,97,71,Black,1107,20.1,31.15
Karnataka,Mandya,Rice,Zaid,May,6.74,60,67,39,Red,594,27.6,20.11
Maharashtra,Pune,Sugarcane,Zaid,November,3.8,197,69,73,Sandy,412,28.4,416.92
Punjab,Amritsar,Cotton,Rabi,June,5.47,116,79,80,Loamy,440,27.1,33.87
Andhra Pradesh,Guntur,Cotton,Rabi,March,1.15,195,35,65,Red,724,34.9,30.61
Uttar Pradesh,Varanasi,Corn,Kharif,June,4.85,97,41,74,Clay,1004,24.9,29.9
Maharashtra,Nagpur,Corn,Kharif,June,8.91,125,52,27,Red,662,30.8,27.69
Uttar Pradesh,Varanasi,Rice,Annual,November,1.6,196,75,89,Sandy,1164,33.6,39.88
Andhra Pradesh,Guntur,Sugarcane,Annual,July,4.01,181,37,28,Red,835,25.1,266.17
Punjab,Patiala,Cotton,Rabi,May,2.23,192,85,27,Sandy,1183,33.4,30.57
Andhra Pradesh,Nellore,Cotton,Rabi,October,5.56,135,91,59,Clay,471,29.1,32.9
Maharashtra,Pune,Rice,Kharif,September,4.03,136,47,54,Sandy,999,23.0,32.55
Tamil Nadu,Salem,Sugarcane,Rabi,August,4.2,68,33,100,Clay,771,29.1,254.0
Uttar Pradesh,Varanasi,Corn,Zaid,August,2.78,135,79,69,Loamy,477,22.9,38.06
Maharashtra,Nagpur,Tomato,Zaid,December,2.8,155,89,41,Black,1072,28.0,173.08
Maharashtra,Pune,Rice,Zaid,February,6.29,60,95,62,Red,1182,25.3,29.58
Tamil Nadu,Madurai,Cotton,Zaid,October,9.59,157,55,28,Black,558,34.2,27.94
West Bengal,Kolkata,Corn,Zaid,April,8.84,188,79,30,Red,834,20.4,45.52
Uttar Pradesh,Kanpur,Rice,Rabi,April,4.72,58,76,56,Clay,699,20.0,25.89
Andhra Pradesh,Guntur,Corn,Rabi,June,8.64,137,68,21,Black,1111,27.0,37.32
Punjab,Ludhiana,Corn,Zaid,January,4.99,185,57,87,Loamy,823,28.9,46.59
Karnataka,Mysore,Tomato,Rabi,March,3.64,80,92,86,Clay,563,21.3,198.23
Uttar Pradesh,Kanpur,Sugarcane,Annual,March,8.9,158,74,37,Black,524,23.0,397.52
Uttar Pradesh,Lucknow,Wheat,Annual,November,7.85,139,82,83,Loamy,407,32.0,34.54
Maharashtra,Nagpur,Sugarcane,Rabi,July,9.05,88,43,41,Loamy,533,29.8,268.48
Andhra Pradesh,Guntur,Sugarcane,Rabi,May,7.17,199,80,54,Loamy,583,22.4,431.54
West Bengal,Kolkata,Rice,Zaid,January,5.41,181,44,22,Clay,637,33.2,28.55
Punjab,Ludhiana,Corn,Zaid,July,5.5,125,50,100,Loamy,402,31.4,36.21
Karnataka,Mysore,Sugarcane,Annual,April,9.09,60,63,28,Black,612,32.2,241.24
Uttar Pradesh,Kanpur,Tomato,Rabi,September,5.23,61,92,100,Sandy,1189,22.4,225.92
Punjab,Ludhiana,Wheat,Kharif,December,6.97,172,78,42,Loamy,695,32.5,35.17
West Bengal,Howrah,Corn,Zaid,March,7.58,147,42,39,Sandy,424,29.0,23.1
Karnataka,Belgaum,Wheat,Rabi,March,6.55,179,60,22,Clay,1085,24.8,31.53
Karnataka,Belgaum,Cotton,Kharif,February,9.99,93,97,57,Black,558,33.8,26.52
Andhra Pradesh,Guntur,Tomato,Annual,August,1.74,189,81,79,Sandy,661,20.1,226.58
Karnataka,Mysore,Corn,Rabi,September,9.7,107,71,56,Sandy,1183,25.5,34.48
Maharashtra,Pune,Tomato,Kharif,January,8.27,171,74,55,Loamy,403,22.8,255.36
Maharashtra,Nashik,Sugarcane,Zaid,January,2.85,110,55,23,Loamy,1091,33.6,296.19
West Bengal,Howrah,Corn,Kharif,December,6.54,85,95,87,Sandy,623,23.8,36.83
Karnataka,Belgaum,Rice,Zaid,March,2.69,167,36,74,Loamy,433,22.7,32.55
Uttar Pradesh,Varanasi,Rice,Rabi,August,6.07,165,86,47,Black,926,29.0,31.51
Maharashtra,Pune,Tomato,Annual,July,8.63,58,78,73,Sandy,540,25.5,176.96
Karnataka,Mysore,Rice,Rabi,November,6.62,72,53,27,Clay,596,21.0,19.74
West Bengal,Darjeeling,Cotton,Zaid,August,5.56,120,81,22,Clay,867,28.0,25.41
Maharashtra,Pune,Sugarcane,Kharif,March,5.12,145,67,43,Black,1089,31.3,391.29
Andhra Pradesh,Kurnool,Rice,Kharif,February,1.19,139,99,41,Clay,748,34.7,30.66
Karnataka,Mysore,Wheat,Rabi,June,4.22,156,48,37,Clay,960,30.0,25.41
Tamil Nadu,Salem,Cotton,Annual,April,1.13,68,40,26,Loamy,1005,26.5,20.85
Maharashtra,Nagpur,Corn,Rabi,January,9.44,60,83,85,Black,1148,33.6,36.82
Punjab,Amritsar,Wheat,Annual,August,1.07,181,64,59,Red,915,27.1,28.48
Karnataka,Belgaum,Corn,Annual,May,5.23,174,56,52,Black,771,31.6,35.25
Karnataka,Belgaum,Sugarcane,Kharif,August,3.05,94,51,60,Black,888,28.1,280.72
West Bengal,Darjeeling,Corn,Annual,January,3.79,194,38,67,Black,1168,25.6,37.69
West Bengal,Darjeeling,Tomato,Rabi,January,4.76,84,80,80,Black,566,26.2,147.29
West Bengal,Kolkata,Cotton,Kharif,November,4.58,113,38,94,Loamy,782,27.5,30.22
Andhra Pradesh,Kurnool,Tomato,Zaid,August,3.82,146,70,28,Loamy,1102,25.6,211.93
Maharashtra,Nagpur,Wheat,Zaid,March,1.96,73,49,57,Sandy,766,32.5,26.98
Andhra Pradesh,Nellore,Cotton,Zaid,September,4.76,85,51,79,Black,1069,34.4,26.88
Punjab,Amritsar,Cotton,Rabi,January,4.86,159,97,92,Sandy,1018,21.8,43.25
Andhra Pradesh,Kurnool,Tomato,Kharif,October,9.2,137,92,80,Clay,580,32.0,258.1
Uttar Pradesh,Varanasi,Corn,Rabi,July,6.75,197,31,86,Loamy,520,31.1,35.27
Tamil Nadu,Thanjavur,Wheat,Rabi,November,6.31,130,81,77,Sandy,834,23.6,32.58
Maharashtra,Pune,Tomato,Zaid,May,6.34,109,39,45,Clay,959,28.2,169.47
Uttar Pradesh,Lucknow,Tomato,Kharif,June,6.92,105,67,52,Sandy,417,22.1,176.94
Maharashtra,Nagpur,Cotton,Annual,November,3.82,103,69,80,Loamy,447,30.7,30.42
Uttar Pradesh,Kanpur,Tomato,Rabi,November,7.66,147,31,72,Black,1087,22.5,210.09
Uttar Pradesh,Kanpur,Cotton,Kharif,April,9.45,57,60,23,Loamy,534,26.1,22.59
Punjab,Amritsar,Tomato,Kharif,October,4.93,68,97,23,Clay,486,28.6,169.56
Tamil Nadu,Thanjavur,Sugarcane,Rabi,September,2.83,156,30,91,Red,599,24.9,350.32
Maharashtra,Nagpur,Sugarcane,Zaid,October,8.47,79,58,27,Loamy,555,27.0,196.99
Tamil Nadu,Madurai,Corn,Annual,June,2.13,140,88,29,Sandy,791,24.3,34.19
West Bengal,Howrah,Tomato,Kharif,July,8.08,117,86,65,Sandy,823,21.8,213.87
Uttar Pradesh,Lucknow,Cotton,Kharif,September,9.54,98,56,37,Black,960,28.3,23.75
Uttar Pradesh,Kanpur,Sugarcane,Kharif,August,9.88,95,65,29,Black,1136,30.4,318.93
West Bengal,Darjeeling,Wheat,Kharif,January,9.42,80,68,73,Black,425,27.6,30.34
Karnataka,Mandya,Tomato,Zaid,December,8.3,68,56,42,Loamy,606,29.2,142.51
Uttar Pradesh,Lucknow,Corn,Kharif,March,8.57,124,79,30,Red,1108,28.7,27.19
Tamil Nadu,Thanjavur,Rice,Zaid,January,3.25,87,92,35,Sandy,860,20.1,26.91
Andhra Pradesh,Nellore,Tomato,Kharif,August,9.17,58,39,97,Clay,587,24.8,156.83
Tamil Nadu,Salem,Wheat,Zaid,July,1.73,179,74,26,Red,481,33.9,34.9
Uttar Pradesh,Varanasi,Cotton,Annual,November,9.7,179,99,87,Black,1094,24.9,46.78
Andhra Pradesh,Kurnool,Corn,Kharif,January,7.48,61,64,37,Loamy,876,22.6,29.18
Uttar Pradesh,Lucknow,Corn,Annual,June,8.06,84,54,28,Red,1186,28.6,28.27
Maharashtra,Nagpur,Corn,Zaid,September,7.58,136,82,71,Black,589,21.9,37.21
Karnataka,Mandya,Sugarcane,Kharif,July,6.68,83,54,52,Loamy,977,26.9,286.44
Andhra Pradesh,Guntur,Wheat,Annual,December,5.5,169,49,87,Loamy,786,24.3,42.54
West Bengal,Howrah,Sugarcane,Zaid,January,7.46,55,35,51,Clay,972,25.9,212.52
Punjab,Amritsar,Wheat,Kharif,June,6.09,156,76,63,Red,894,29.3,38.48
Tamil Nadu,Salem,Tomato,Zaid,August,9.37,130,97,29,Sandy,767,33.3,233.69
Tamil Nadu,Thanjavur,Wheat,Rabi,January,7.39,50,69,36,Sandy,580,20.2,20.99
Tamil Nadu,Madurai,Tomato,Zaid,November,3.25,142,95,44,Black,890,20.3,243.64
West Bengal,Howrah,Cotton,Annual,November,2.02,59,69,26,Clay,1036,23.7,20.03
Uttar Pradesh,Lucknow,Corn,Zaid,April,5.15,93,81,94,Clay,465,31.1,28.77
Tamil Nadu,Salem,Sugarcane,Rabi,April,5.65,88,73,43,Black,519,23.7,283.73
Andhra Pradesh,Kurnool,Rice,Rabi,February,6.93,120,92,58,Loamy,944,25.2,33.19
Karnataka,Belgaum,Corn,Zaid,April,7.17,164,79,77,Red,909,33.2,39.53
Maharashtra,Pune,Corn,Zaid,July,3.25,61,38,94,Red,599,30.7,25.95
West Bengal,Darjeeling,Tomato,Zaid,September,1.87,124,44,30,Sandy,483,25.6,153.02
Karnataka,Mysore,Rice,Zaid,November,5.7,103,38,45,Red,418,23.8,19.31
Uttar Pradesh,Varanasi,Rice,Kharif,February,1.72,116,52,41,Sandy,1001,25.4,29.45
Punjab,Patiala,Corn,Zaid,July,2.73,60,47,70,Sandy,623,23.8,19.43
Karnataka,Mysore,Sugarcane,Annual,September,4.65,132,54,54,Loamy,712,21.7,275.97
Karnataka,Mandya,Cotton,Zaid,July,4.6,126,85,43,Clay,987,22.9,30.5
Punjab,Patiala,Sugarcane,Annual,December,3.71,103,94,88,Black,739,33.7,339.04
Andhra Pradesh,Guntur,Wheat,Zaid,July,3.33,131,58,68,Sandy,1184,32.7,29.73
Tamil Nadu,Madurai,Sugarcane,Rabi,October,8.56,56,65,55,Loamy,1167,28.8,277.48
Maharashtra,Pune,Wheat,Annual,July,2.12,70,68,77,Red,608,31.9,24.22
Uttar Pradesh,Varanasi,Tomato,Rabi,November,2.47,93,53,29,Clay,1056,31.4,118.84
Tamil Nadu,Thanjavur,Sugarcane,Rabi,October,1.64,78,70,57,Sandy,509,25.7,212.36
Karnataka,Mandya,Rice,Zaid,January,1.34,103,40,62,Loamy,400,30.5,18.78
Andhra Pradesh,Kurnool,Rice,Kharif,December,5.21,177,84,20,Clay,728,24.6,39.17
Karnataka,Mandya,Sugarcane,Rabi,July,9.23,93,51,21,Clay,1135,33.9,232.0
Tamil Nadu,Thanjavur,Tomato,Kharif,September,8.99,155,66,65,Black,980,25.4,201.57
West Bengal,Darjeeling,Sugarcane,Zaid,May,7.47,170,36,55,Sandy,644,32.6,330.3
Karnataka,Belgaum,Tomato,Annual,August,7.2,139,84,57,Black,526,28.9,235.63
Maharashtra,Nagpur,Tomato,Kharif,March,4.88,114,72,96,Red,431,28.2,173.04
Uttar Pradesh,Varanasi,Tomato,Zaid,May,8.29,81,58,80,Sandy,917,25.4,168.45
Uttar Pradesh,Kanpur,Cotton,Zaid,July,9.07,67,58,53,Sandy,665,33.2,22.95
Karnataka,Mandya,Rice,Kharif,July,8.55,137,71,56,Black,1199,21.3,39.38
Karnataka,Belgaum,Rice,Zaid,December,8.02,106,53,99,Loamy,862,30.4,30.56
Andhra Pradesh,Guntur,Corn,Kharif,August,6.21,163,41,83,Black,624,30.5,37.67
Andhra Pradesh,Guntur,Sugarcane,Rabi,January,8.26,101,39,36,Red,632,27.3,218.17
Andhra Pradesh,Kurnool,Rice,Kharif,December,3.8,57,90,50,Clay,948,24.4,28.66
West Bengal,Howrah,Tomato,Zaid,November,2.24,103,35,99,Clay,813,26.1,198.28
Andhra Pradesh,Guntur,Rice,Rabi,May,5.06,173,68,85,Clay,900,21.5,45.85
Maharashtra,Nagpur,Corn,Kharif,July,5.1,93,62,56,Sandy,1165,25.7,24.19
West Bengal,Darjeeling,Sugarcane,Zaid,November,9.8,127,45,65,Red,466,24.5,334.65
Punjab,Ludhiana,Sugarcane,Annual,March,4.87,193,34,39,Red,633,25.9,375.16
Karnataka,Mysore,Tomato,Annual,November,6.54,91,63,76,Sandy,429,23.2,173.9
West Bengal,Kolkata,Wheat,Kharif,October,7.1,177,80,45,Red,1050,34.3,39.75
West Bengal,Howrah,Sugarcane,Zaid,October,6.77,183,42,27,Loamy,788,27.4,308.8
West Bengal,Howrah,Tomato,Annual,September,4.96,144,53,62,Clay,607,27.6,220.68
Tamil Nadu,Madurai,Rice,Kharif,October,9.68,61,62,49,Sandy,603,21.6,29.48
Andhra Pradesh,Kurnool,Cotton,Zaid,April,6.85,87,96,37,Clay,1052,22.5,34.44
West Bengal,Darjeeling,Wheat,Kharif,October,5.54,99,56,38,Black,537,24.8,26.24
Maharashtra,Nashik,Tomato,Rabi,December,4.87,168,36,80,Black,1094,30.4,255.5
Andhra Pradesh,Guntur,Cotton,Annual,July,6.92,74,61,61,Black,662,31.6,29.87
Punjab,Amritsar,Rice,Kharif,May,5.5,72,53,97,Clay,818,22.4,27.52
Karnataka,Mandya,Corn,Rabi,September,2.66,92,66,30,Red,821,29.7,21.2
Punjab,Ludhiana,Sugarcane,Rabi,April,2.86,138,43,48,Loamy,509,28.7,223.1
Tamil Nadu,Thanjavur,Rice,Kharif,March,4.77,91,73,97,Sandy,464,26.3,27.5
Karnataka,Mandya,Corn,Rabi,August,4.97,152,34,67,Black,734,24.1,34.16
Tamil Nadu,Thanjavur,Sugarcane,Zaid,April,8.38,125,79,76,Black,860,26.0,370.66
Andhra Pradesh,Kurnool,Corn,Annual,August,6.27,67,94,83,Red,727,32.9,36.38
Karnataka,Mandya,Sugarcane,Rabi,January,3.72,183,96,52,Clay,1062,23.6,323.18
Tamil Nadu,Thanjavur,Tomato,Rabi,October,8.71,50,64,53,Loamy,820,30.2,158.97
Andhra Pradesh,Guntur,Sugarcane,Zaid,September,5.45,126,85,63,Black,1058,27.9,333.43
West Bengal,Kolkata,Sugarcane,Rabi,March,9.2,55,33,25,Red,689,21.9,176.07
Tamil Nadu,Salem,Cotton,Rabi,February,2.84,150,48,92,Clay,887,20.6,38.17
Maharashtra,Nashik,Cotton,Kharif,September,7.64,169,79,90,Black,637,33.3,35.31
West Bengal,Howrah,Wheat,Rabi,August,1.56,80,73,45,Black,915,26.0,30.06
Andhra Pradesh,Kurnool,Cotton,Kharif,September,3.82,199,98,76,Red,944,20.1,42.55
Karnataka,Mandya,Corn,Annual,June,5.79,103,40,51,Loamy,799,24.3,22.45
Tamil Nadu,Thanjavur,Cotton,Annual,November,7.84,134,99,37,Black,1015,24.7,34.69
Karnataka,Mandya,Tomato,Zaid,June,4.69,175,78,63,Clay,994,31.1,198.65
Punjab,Patiala,Rice,Kharif,February,6.93,170,96,67,Sandy,740,24.2,47.02
Maharashtra,Pune,Corn,Rabi,November,4.25,149,81,71,Clay,1028,29.0,41.55
Andhra Pradesh,Guntur,Rice,Annual,December,4.18,162,32,39,Red,475,26.2,28.1
Uttar Pradesh,Varanasi,Cotton,Kharif,May,5.15,105,38,76,Loamy,1192,29.1,24.59
Karnataka,Belgaum,Rice,Kharif,May,6.38,106,56,42,Sandy,569,34.3,28.12
Karnataka,Mandya,Corn,Rabi,March,5.46,101,85,63,Black,768,31.2,25.33
Punjab,Patiala,Tomato,Zaid,August,6.14,82,92,38,Black,670,29.2,179.62
Karnataka,Mandya,Tomato,Rabi,February,1.03,116,61,88,Red,1094,24.0,189.57
Tamil Nadu,Madurai,Cotton,Annual,November,4.5,160,60,62,Loamy,1137,21.5,34.15
Karnataka,Mandya,Tomato,Zaid,December,2.24,122,44,59,Red,990,27.7,159.14
Uttar Pradesh,Lucknow,Sugarcane,Annual,April,1.33,167,47,86,Black,736,26.6,388.58
Karnataka,Mandya,Tomato,Rabi,September,9.16,137,69,34,Black,678,21.8,184.85
Maharashtra,Nagpur,Wheat,Annual,December,1.62,191,46,58,Clay,472,22.6,33.54
West Bengal,Kolkata,Corn,Annual,June,5.71,170,69,40,Sandy,760,32.1,33.11
Andhra Pradesh,Guntur,Cotton,Kharif,February,2.56,55,38,54,Red,749,34.3,19.57
Uttar Pradesh,Varanasi,Rice,Rabi,February,7.98,178,89,84,Red,446,27.1,45.16
Uttar Pradesh,Varanasi,Corn,Kharif,May,1.61,168,46,71,Red,937,24.2,33.21
Punjab,Ludhiana,Sugarcane,Kharif,May,7.93,79,31,57,Clay,1029,26.5,249.56
Tamil Nadu,Madurai,Cotton,Kharif,August,6.2,160,57,82,Black,1040,30.8,43.14
West Bengal,Darjeeling,Wheat,Rabi,April,6.55,96,38,49,Clay,706,31.7,28.63
Punjab,Amritsar,Sugarcane,Kharif,June,6.84,180,82,94,Black,782,33.5,399.2
Tamil Nadu,Madurai,Rice,Annual,March,1.58,199,48,30,Loamy,452,21.4,34.77
Tamil Nadu,Salem,Tomato,Annual,January,5.24,161,32,81,Loamy,438,27.1,169.55
Maharashtra,Nagpur,Corn,Zaid,March,7.35,51,39,97,Sandy,546,21.5,25.22
Punjab,Patiala,Cotton,Annual,October,4.23,98,49,91,Clay,648,24.0,30.11
Punjab,Patiala,Cotton,Annual,April,3.64,139,47,32,Red,1143,25.6,33.93
West Bengal,Darjeeling,Sugarcane,Kharif,May,9.52,191,39,81,Sandy,414,21.3,338.07
Uttar Pradesh,Kanpur,Sugarcane,Kharif,December,4.03,93,70,50,Black,481,24.6,215.64
Punjab,Ludhiana,Corn,Kharif,February,8.15,115,79,52,Clay,978,24.2,39.55
Punjab,Patiala,Corn,Annual,October,5.25,87,42,100,Red,738,29.7,30.33
West Bengal,Darjeeling,Sugarcane,Zaid,February,7.51,153,77,86,Black,1143,28.7,476.92
Uttar Pradesh,Varanasi,Cotton,Kharif,January,6.66,54,57,83,Black,864,26.9,23.75
Andhra Pradesh,Kurnool,Tomato,Rabi,August,1.39,72,79,56,Black,723,26.8,145.17
Karnataka,Mysore,Cotton,Annual,February,2.56,58,82,74,Black,419,32.6,25.18
Uttar Pradesh,Lucknow,Sugarcane,Kharif,March,7.57,177,98,99,Black,822,21.8,368.01
Punjab,Patiala,Tomato,Kharif,March,9.24,107,35,44,Clay,600,20.4,162.64
Punjab,Patiala,Cotton,Rabi,January,8.01,156,44,92,Black,832,26.0,31.44
Tamil Nadu,Madurai,Corn,Rabi,May,7.53,176,52,43,Loamy,703,20.1,36.14
Karnataka,Mandya,Rice,Annual,June,4.12,90,55,34,Clay,811,24.5,19.64
Uttar Pradesh,Varanasi,Rice,Kharif,July,8.16,111,99,98,Sandy,1077,33.9,45.26
Tamil Nadu,Madurai,Rice,Kharif,May,1.54,96,62,75,Clay,1028,21.3,25.52
Punjab,Amritsar,Wheat,Kharif,November,5.74,71,69,100,Clay,424,34.1,25.47
West Bengal,Darjeeling,Tomato,Kharif,June,5.49,172,91,35,Sandy,1117,33.5,255.04
Uttar Pradesh,Kanpur,Wheat,Kharif,April,3.49,74,75,76,Clay,971,20.1,28.62
Punjab,Patiala,Tomato,Kharif,March,6.18,186,86,73,Black,760,26.5,279.02
Maharashtra,Pune,Wheat,Annual,July,8.1,148,57,38,Clay,582,28.3,30.63
